Year,State,District,Water Level,avg_depth
2020,Andaman and Nicobar Islands,South Andaman,0 to 2 Pre Monsoon (in mbgl),1.0
2020,Andaman and Nicobar Islands,Ross Island,0 to 2 Pre Monsoon (in mbgl),1.0
2020,Andaman and Nicobar Islands,Neil Island,2 to 5 Pre Monsoon (in mbgl),3.5
2020,Andaman and Nicobar Islands,North Andaman,0 to 2 Pre Monsoon (in mbgl),1.0
2020,Andaman and Nicobar Islands,Long Island,2 to 5 Pre Monsoon (in mbgl),3.5
2020,Andaman and Nicobar Islands,Havelock Island,0 to 2 Pre Monsoon (in mbgl),1.0
2020,Andaman and Nicobar Islands,Middle Andaman,0 to 2 Pre Monsoon (in mbgl),1.0
2020,Andaman and Nicobar Islands,South Andaman,0 to 2 Post Monsoon (in mbgl),1.0
2020,Andaman and Nicobar Islands,Ross Island,0 to 2 Post Monsoon (in mbgl),1.0
2020,Andaman and Nicobar Islands,Neil Island,2 to 5 Post Monsoon (in mbgl),3.5
2020,Andaman and Nicobar Islands,North Andaman,0 to 2 Post Monsoon (in mbgl),1.0
2020,Andaman and Nicobar Islands,Long Island,0 to 2 Post Monsoon (in mbgl),1.0
2020,Andaman and Nicobar Islands,Havelock Island,0 to 2 Post Monsoon (in mbgl),1.0
2020,Andaman and Nicobar Islands,Middle Andaman,0 to 2 Post Monsoon (in mbgl),1.0
2020,Andhra Pradesh,Srikakulam,0 to 2 Pre Monsoon (in mbgl),1.0
2020,Andhra Pradesh,Nellore,5 to 10 Pre Monsoon (in mbgl),7.5
2020,Andhra Pradesh,Prakasam,10 to 20 Pre Monsoon (in mbgl),15.0
2020,Andhra Pradesh,Kurnool,5 to 10 Pre Monsoon (in mbgl),7.5
2020,Andhra Pradesh,Y.S.R. (Kadapa),10 to 20 Pre Monsoon (in mbgl),15.0
2020,Andhra Pradesh,Chittoor,5 to 10 Pre Monsoon (in mbgl),7.5
2020,Andhra Pradesh,Vizianagaram,5 to 10 Pre Monsoon (in mbgl),7.5
2020,Andhra Pradesh,West Godavari,10 to 20 Pre Monsoon (in mbgl),15.0
2020,Andhra Pradesh,Anantapur,10 to 20 Pre Monsoon (in mbgl),15.0
2020,Andhra Pradesh,Visakhapatnam,5 to 10 Pre Monsoon (in mbgl),7.5
2020,Andhra Pradesh,East Godavari,5 to 10 Pre Monsoon (in mbgl),7.5
2020,Andhra Pradesh,Guntur,2 to 5 Pre Monsoon (in mbgl),3.5
2020,Andhra Pradesh,Krishna,5 to 10 Pre Monsoon (in mbgl),7.5
2020,Andhra Pradesh,Srikakulam,2 to 5 Post Monsoon (in mbgl),3.5
2020,Andhra Pradesh,Nellore,2 to 5 Post Monsoon (in mbgl),3.5
2020,Andhra Pradesh,Prakasam,5 to 10 Post Monsoon (in mbgl),7.5
2020,Andhra Pradesh,Kurnool,2 to 5 Post Monsoon (in mbgl),3.5
2020,Andhra Pradesh,Y.S.R. (Kadapa),20 to 40 Post Monsoon (in mbgl),30.0
